"","V1","V2","V3","V4","V5","V6"
"opterr",0.248812541249208,0.257460899860598,0.22171217254363,0.265694657154381,0.256610101996921,0.20522264202591
"while",0.224796018050984,0.278331233211793,0.250516651128419,0.202523011527956,0.266130918660201,0.249591861944646
"c",0.163924678391777,0.177252940181643,0.11230122379493,0.193402967206202,0.149327051290311,0.136180095816962
"getoptargc",0.276674699457362,0.263003657246008,0.207163274846971,0.23272322344128,0.278975540702231,0.222542160493322
"argv",0.265905418642797,0.23709981625434,0.200259755458683,0.287427486665547,0.232480058446527,0.288126652757637
"ksmoh",0.249294908135198,0.2824613296194,0.218931996799074,0.260884623997845,0.270336410822347,0.254802281106822
"case",0.232950864732265,0.27217071193736,0.210121379047632,0.281800471502356,0.296786168473773,0.229060506122187
"k""",0.139769679377787,0.177376733883284,0.109705901448615,0.179180526011623,0.198246661899611,0.133399944985285
"fprintfstderr",0.200611270521767,0.26368579226546,0.230024668388069,0.245727676013485,0.245173306786455,0.212737480318174
"needs",0.219921431480907,0.277477089175954,0.230000490811653,0.211764517845586,0.236318384646438,0.20785824644845
"be",0.240587824280374,0.217684105923399,0.265420178649947,0.240935309394263,0.283932499494404,0.258022969448939
"a",0.274366918229498,0.2530553083634,0.214298069104552,0.21158741498366,0.222446859790944,0.28774104481563
"digit",0.258498729858547,0.20989564510528,0.236113628279418,0.26910793883726,0.249339035176672,0.22501476414036
"numbern""",0.234753464767709,0.246269288915209,0.260090237483382,0.20008014915511,0.232700488413684,0.283001793012954
"s""",0.145553157455288,0.135134462523274,0.100375284859911,0.151389508531429,0.102123291837052,0.138635471835732
"an",0.207780090509914,0.255023494223133,0.277545087551698,0.296407806337811,0.241730680479668,0.236668145889416
"integern""",0.204849150707014,0.244281918462366,0.246406156965531,0.232752802688628,0.223305259295739,0.230004430888221
"o""",0.227491383277811,0.221842923969962,0.274229288147762,0.288505413359962,0.267688343720511,0.29817179501988
"break""",0.266747090732679,0.230262575205415,0.227010251837783,0.245604541921057,0.272992429393344,0.23182042024564
"optarg""",0.260555062675849,0.285875041992404,0.246066992869601,0.264214947866276,0.238964203838259,0.253320993669331
"h""",0.187524962169118,0.153573831752874,0.193957799999043,0.175511749181896,0.132955811684951,0.195099709928036
"return",0.263606577948667,0.284708391665481,0.210444842954166,0.212539427075535,0.227154219173826,0.297326729190536
"errors""",0.291060275677592,0.216934064892121,0.265583271440119,0.296360251237638,0.26944441664964,0.298633393296041
"no",0.245144789922051,0.274495487171225,0.200172074581496,0.261140353721567,0.267907546460629,0.288800661056302
"providedn""",0.249507536343299,0.271454498590901,0.276753204734996,0.267575857019983,0.219620320131071,0.201439216756262
"else",0.209776531672105,0.242437648656778,0.231229063589126,0.220398934022523,0.284864547033794,0.251468437211588
"if",0.280190840852447,0.2956213966012,0.297041267063469,0.243022768362425,0.211340659856796,0.278436975949444
"strlenstr",0.282558728987351,0.262414296180941,0.262743753148243,0.274052585056052,0.281324807438068,0.282480431394652
"printfusage",0.296138778841123,0.298525840952061,0.210410797828808,0.249263134645298,0.27003381846007,0.208477561967447
"shmserver",0.224614471336827,0.235408648988232,0.23926744167693,0.281344962725416,0.247266500489786,0.203434926830232
"k",0.1808197155362,0.163835352961905,0.139146265829913,0.156568055506796,0.136539444560185,0.167975377244875
"s",0.168072152673267,0.137631650432013,0.175021816371009,0.122441813466139,0.118911308888346,0.161043541552499
"m",0.122543607465923,0.152708859392442,0.114877595053986,0.144540325645357,0.12744688896928,0.167328579234891
"datanex",0.226794013590552,0.258183775609359,0.257982841157354,0.250641089165583,0.228881330066361,0.244082088256255
"hello",0.249852775689214,0.250553771969862,0.208193412120454,0.282791102561168,0.294034852739424,0.282505392236635
"worldn""",0.270134815759957,0.2633977556834,0.296479574916884,0.211510191787966,0.23630056947004,0.278309782454744
"create",0.216817036736757,0.207431885926053,0.2406137870159,0.25019151547458,0.249414734984748,0.260765142948367
"segment",0.265544398175552,0.277853761124425,0.225553102791309,0.260598551412113,0.292279837816022,0.268511509662494
"shmget",0.206850093533285,0.277556896233,0.213438602979295,0.217990339756943,0.243780621094629,0.281616718717851
"errorn""",0.284765094844624,0.252960975375026,0.204493364156224,0.287430684524588,0.241790904616937,0.221570010832511
"attach",0.25823286594823,0.205789316585287,0.203862407128327,0.215371212665923,0.299997917446308,0.249671718711033
"our",0.231671836576425,0.277556000347249,0.222912009619176,0.269601553259417,0.203982189181261,0.254163692472503
"space",0.261786730517633,0.235160333011299,0.210893413214944,0.294797908933833,0.286390568665229,0.233547591581009
"shmat",0.237130131828599,0.299473655363545,0.235199599340558,0.271031239163131,0.277027183445171,0.298768919263966
"stuff",0.277552097872831,0.206441000616178,0.270095825684257,0.220190702145919,0.290302916523069,0.241553059197031
"in",0.236785562010482,0.27602353990078,0.241900732275099,0.21781019854825,0.251726116123609,0.219115446042269
"clear",0.293178105237894,0.23913779661525,0.205351192201488,0.229491283162497,0.212036366155371,0.272614892735146
"strcpyshm",0.160399681469426,0.139932945067994,0.125550308381207,0.189323468715884,0.150918758101761,0.13915202205535
"str""",0.110571361146867,0.151592879882082,0.191044539865106,0.197291010897607,0.119338921504095,0.133773706085049
"write",0.266982386051677,0.212649128981866,0.293402424827218,0.264103011530824,0.207467237021774,0.208104339195415
"out",0.267881706682965,0.232267764094286,0.235620357259177,0.2038534990279,0.273542608483694,0.239971621893346
"id",0.210429147072136,0.289559646206908,0.200108606019057,0.256255950033665,0.21644683079794,0.248536465712823
"fopenoutfilename",0.212729415949434,0.265198577474803,0.217414509505033,0.278634240943939,0.298933507106267,0.239948947401717
"w",0.177617627102882,0.194762661843561,0.120649976469576,0.120649426826276,0.189550906862132,0.180293753137812
"fcloseoutfile""",0.278756725182757,0.227539570140652,0.209780606767163,0.271646976424381,0.245941420714371,0.233390734950081
"fprintfstdout",0.201353010255843,0.227443840913475,0.204709685593843,0.264221628545783,0.285779449762776,0.216972343996167
"d",0.106861132988706,0.172058954345994,0.146436074259691,0.100843033520505,0.17732501977589,0.127590083726682
"shmid""",0.277808554680087,0.2061902387999,0.281733127310872,0.211128863203339,0.292947962437756,0.215873254043981
"wait",0.236932028620504,0.232866256870329,0.230919516738504,0.252990062558092,0.287074921978638,0.226951222098432
"for",0.205396775645204,0.278798119397834,0.243491173302755,0.211057720333338,0.202073586522602,0.231906811404042
"input",0.267916586040519,0.287633886467665,0.234880421496928,0.230717994342558,0.23917429051362,0.245296400669031
"getchar""",0.274393459432758,0.283273923676461,0.294624928524718,0.299576534843072,0.253822393878363,0.256129848840646
"""x""",0.154657547106035,0.177576541225426,0.162847193190828,0.136630238592625,0.192512422706932,0.112623905087821
"all",0.259729448752478,0.250421581696719,0.281484653777443,0.239216649555601,0.256851148605347,0.260132744908333
"rights",0.275333905988373,0.274871352803893,0.273895010887645,0.208290940406732,0.204771661013365,0.291437626793049
"reserved""",0.264170453790575,0.253515845444053,0.249793135211803,0.296562236919999,0.268236895068549,0.276353165204637
"this",0.238344715791754,0.266787649993785,0.213962111319415,0.258084242790937,0.276028521033004,0.226022041565739
"program",0.202809685491957,0.227642293204553,0.248944710707292,0.233995136083104,0.275662505323999,0.241939750732854
"is",0.275946734938771,0.216071690036915,0.24164008370135,0.219239225704223,0.288849281123839,0.270672810194083
"free",0.210130388801917,0.227412547101267,0.228576475195587,0.236880712187849,0.294839296652935,0.264103411370888
"software",0.206865454022773,0.228154046810232,0.22029114284087,0.273387780459598,0.26739944703877,0.210301059647463
"you",0.296211252035573,0.276348299020901,0.249652141681872,0.244088889565319,0.20410863889847,0.273252784763463
"can",0.203715250478126,0.278513710387051,0.296704531740397,0.204112989082932,0.256608995446004,0.280997028620914
"redistribute",0.28181674988009,0.293263006606139,0.273755426262505,0.224832799728028,0.265058365184814,0.243660126044415
"it",0.297213166556321,0.289099435391836,0.253250732924789,0.282870833924972,0.234712948463857,0.279591869167052
"andor",0.246773881465197,0.247043656301685,0.270999697037041,0.236171073024161,0.23987444054801,0.251432761223987
"modify""",0.264701557112858,0.280362234520726,0.290511650894769,0.244609198020771,0.200439078244381,0.232523009972647
"foundation",0.232152772089466,0.297948984266259,0.231501735677011,0.258173061884008,0.247387179895304,0.204867190076038
"either",0.223094699485227,0.247439234238118,0.298642469593324,0.24960463012103,0.28186221618671,0.253001738502644
"version",0.201078000362031,0.271291687944904,0.205844297260046,0.269728650199249,0.24771567445714,0.232093101972714
"license",0.276442017662339,0.215908273472451,0.255560867022723,0.283852439885959,0.29620679684449,0.220033808029257
"or""",0.220252288156189,0.275907345023006,0.235958280158229,0.279271850339137,0.249617710988969,0.278798573627137
"but",0.235924035916105,0.251755330269225,0.247475227853283,0.215809303056449,0.267795192589983,0.294816498714499
"without",0.233411773084663,0.258113723085262,0.24828344869893,0.286026811576448,0.264725201227702,0.219262930820696
"any",0.226747262221761,0.295624326961115,0.278282623295672,0.20352017020341,0.22941735566128,0.2203291434329
"warranty",0.216199225164019,0.29359038178809,0.218038812791929,0.290840825531632,0.242263947613537,0.218413063092157
"even",0.285667256219313,0.273322962294333,0.22218692090828,0.207066186983138,0.259075830690563,0.212295586941764
"implied",0.260770903597586,0.231780031742528,0.245684647024609,0.230712731089443,0.278573140734807,0.230525168147869
"of""",0.271916413865983,0.233353390148841,0.269184516649693,0.298300149268471,0.269100152119063,0.225363805214874
"gnu",0.226473864261061,0.214774811733514,0.281184957781807,0.228736907499842,0.243390231207013,0.2467190512456
"general",0.23787171812728,0.28525103693828,0.247426689858548,0.212100010877475,0.283825159678236,0.211036860477179
"public",0.261518409312703,0.240342372772284,0.21625622366555,0.210523096984252,0.20951604093425,0.234899200662039
"more",0.29381136377342,0.246196919935755,0.209155172319151,0.254884730931371,0.27573153115809,0.292792225209996
"details""",0.268944294587709,0.223933844757266,0.243040700489655,0.244232028047554,0.289774171588942,0.253492861310951
"should",0.211464099469595,0.247056679800153,0.252253417158499,0.236179577978328,0.208875394891948,0.296483492129482
"have",0.283909318270162,0.23482893074397,0.271665619011037,0.299392040143721,0.227835057163611,0.281638834322803
"received",0.28409838443622,0.200587433227338,0.268084112228826,0.242054708534852,0.211871001659893,0.247464321972802
"copy",0.235826483881101,0.204000613535754,0.249022501357831,0.243642086512409,0.227579948445782,0.291452250047587
"license""",0.231820624950342,0.278367329319008,0.220410018740222,0.274187523429282,0.296755552198738,0.277242767554708
"inc",0.222801401163451,0.239387928857468,0.232894892105833,0.268486863025464,0.284842988522723,0.247456204425544
"temple",0.279704375937581,0.205438037053682,0.241820175899193,0.227515656873584,0.253018036484718,0.297286766441539
"place",0.274377987370826,0.260234884754755,0.273680903366767,0.203081269306131,0.280374149396084,0.225253648939542
"suite",0.287523517105728,0.210516239260323,0.201669149775989,0.25048046472948,0.207183241890743,0.224028836609796
"boston",0.278744419105351,0.229609446972609,0.208527272287756,0.253487413632683,0.26527681206353,0.292867444548756
"ma",0.210248198988847,0.208204311248846,0.290809786925092,0.233953057206236,0.203391526988707,0.233623441471718
"usa""",0.23616026584059,0.264450855902396,0.203928602696396,0.28902515785303,0.218966772197746,0.261114682629704
"treeh""",0.221084277192131,0.284387981588952,0.223222426068969,0.288063032715581,0.271930180792697,0.274151273281314
"hacked",0.228383834124543,0.222684344509616,0.285008178884164,0.271771602169611,0.261883034254424,0.215967370336875
"dircolors",0.250149074825458,0.204810282541439,0.261926255817525,0.26214953402523,0.274259210098535,0.275784272607416
"support",0.299017306114547,0.213809353997931,0.27007991282735,0.201976632024162,0.257285330723971,0.287071769731119
"linux",0.260153933172114,0.285193861345761,0.213550739642233,0.221841620025225,0.283686532592401,0.289469599630684
"""""	""""",0.121582016488537,0.130575484689325,0.121265947376378,0.100288333720528,0.1411240354646,0.171166898100637
"color",0.224459171574563,0.292317560920492,0.210487944982015,0.250008068839088,0.20004058110062,0.233349841902964
"so",0.274042504513636,0.253094217390753,0.216297290078364,0.201725534675643,0.290874298242852,0.266289246059023
"that",0.267736504389904,0.259080515592359,0.292523078667,0.25728854953777,0.221503897500224,0.243913759361021
"programs",0.297111259703524,0.226182551635429,0.234551596618257,0.290629514516331,0.247825931874104,0.226099845557474
"could",0.284738268726505,0.206704416172579,0.223984781559557,0.254016203666106,0.229140792274848,0.275218552770093
"take",0.272420250065625,0.250047980807722,0.218583930423483,0.27307261058595,0.276693633710966,0.288638278120197
"advantage",0.227756477170624,0.230919921980239,0.256852469663136,0.289175348379649,0.234569307579659,0.221699245320633
"this""",0.24850762647111,0.253004577779211,0.295702294399962,0.225480746710673,0.280461800307967,0.298307070089504
"valid",0.227588447160088,0.255369664961472,0.211652560671791,0.203950032196008,0.240784267731942,0.287348194373772
"terms",0.218683251086622,0.25206312420778,0.265112196817063,0.274661994283088,0.236599715705961,0.272886613709852
"environment",0.252417080011219,0.257686866773292,0.234665272920392,0.273144124797545,0.250373986689374,0.258484987774864
"var",0.268264067382552,0.21773316138424,0.205250243609771,0.283642206480727,0.246269281161949,0.254471761942841
"like""",0.260405970318243,0.263868796080351,0.206817870750092,0.215245369984768,0.26210493745748,0.233574661542661
"and",0.250201543164439,0.235512014245614,0.259303358523175,0.208700678544119,0.227279214328155,0.272997861169279
"options",0.277591820200905,0.240975448489189,0.235213737655431,0.226416900986806,0.263916491530836,0.297997879353352
"directives",0.231178525998257,0.288483092398383,0.208945446368307,0.242738064122386,0.204055624711327,0.244359262916259
"env",0.250488299666904,0.288398100715131,0.286774688237347,0.288865377590992,0.287241647299379,0.266434369818307
"too""",0.233500892226584,0.261628023162484,0.254533715336584,0.297602883540094,0.231800375902094,0.264781984640285
"doesnt",0.23903943519108,0.271500746230595,0.280205719522201,0.255889043258503,0.208017692831345,0.234677936718799
"understand",0.240677695348859,0.237861608481035,0.205166934477165,0.208459128253162,0.216250694077462,0.204848690307699
"other",0.231362721580081,0.230187392863445,0.227165642124601,0.225032143690623,0.210519210295752,0.227594699966721
"would""",0.255164525704458,0.276876788120717,0.282400102377869,0.267412850609981,0.288417197368108,0.210841357638128
"perhaps",0.27416080115363,0.208447168208659,0.298011490283534,0.295332243852317,0.273350600432605,0.219246781826951
"make",0.233900043531321,0.277727289637551,0.276462582917884,0.288576427451335,0.285264335200191,0.249224433582276
"those",0.206642852700315,0.207357236533426,0.210453024995513,0.230127586331218,0.258796543744393,0.20295383001212
"unknown",0.24580819173716,0.247995495353825,0.224563086684793,0.203959748777561,0.248143767984584,0.246171206305735
"variables""",0.245913607208058,0.232145557017066,0.294084895611741,0.244922721921466,0.221253647701815,0.275887755467556
"cryptic",0.212295032059774,0.268282455648296,0.233192160795443,0.206928565260023,0.259206833411008,0.220262090000324
"crap",0.299444397259504,0.204528741282411,0.275421296898276,0.234542500786483,0.253793874615803,0.211237205658108
"one",0.295272712921724,0.28661984174978,0.273562759486958,0.279729684395716,0.243334189220332,0.259188494691625
"looks",0.227559447078966,0.233488119370304,0.273471434903331,0.287492254166864,0.284133940865286,0.250516404211521
"at",0.244215309992433,0.218308333144523,0.294512539287098,0.203445437271148,0.209289871132933,0.294077179045416
"but""",0.248287626332603,0.221994850574993,0.263916083751246,0.27244910094887,0.261132413195446,0.224407220073044
"something""",0.206557962391526,0.298158888681792,0.292273021722212,0.232492683664896,0.278755688178353,0.258253187313676
"stdargh",0.285465229162946,0.270943024428561,0.208550225268118,0.213155646505766,0.213571284618229,0.265599460201338
"sysshmh",0.187843280262314,0.104746576445177,0.13963704709895,0.104067353904247,0.130037953308783,0.109674754319713
"""""	""enum",0.261334442347288,0.298296622838825,0.280270989541896,0.263659286103211,0.232559072109871,0.261200071824715
"anonymousxafb",0.256985197355971,0.226150135952048,0.231420571473427,0.238463199674152,0.216874684067443,0.275706670898944
"cmdcolorcmdoptionscmdtermcmdeightbitcolnormalcolfilecoldircollinkcolfifocoldoorcolblkcolchrcolorphancolsockcolsetuidcolsetgidcolstickyotherwritablecolotherwritablecolstickycolexeccolmissingcolleftcodecolrightcodecolendcodedotextensionerror",0.273617172287777,0.219316056068055,0.200200114352629,0.251975333248265,0.291755920206197,0.269870328321122
"""""	""bool",0.242526767845266,0.206826683226973,0.221065445197746,0.211680147633888,0.289651482412592,0.274537653569132
"ansilines",0.223029653448612,0.286113006179221,0.274458881164901,0.242392071103677,0.256707141222432,0.290435288241133
"false""",0.251808989280835,0.276420488208532,0.25031119142659,0.282885924866423,0.256098905322142,0.219473422016017
"""""	""char",0.213966929679737,0.268767184275202,0.205118020647205,0.249530861247331,0.26726071452722,0.212147230189294
"term""",0.27514387993142,0.234074226301163,0.242042688908987,0.220744922128506,0.270432004728354,0.296083378791809
"istty""",0.220334652625024,0.220819663838483,0.242974745319225,0.232645604829304,0.287104174843989,0.237301411945373
"rightcode",0.285048154811375,0.296406190958805,0.264105455577374,0.256479781726375,0.286319787078537,0.262425533030182
"void",0.268577922950499,0.253037967742421,0.246727200318128,0.210814513312653,0.214698742399924,0.248609270527959
"normflgs",0.269881359301507,0.226701313513331,0.241441775253043,0.221858604205772,0.210158532578498,0.288911497034132
"dirflgs",0.236579828104004,0.264516661921516,0.297532663494348,0.215928543894552,0.290194982313551,0.293281699740328
"fifoflgs",0.259921414544806,0.254910066747107,0.260239366209134,0.235772125585936,0.243107799836434,0.232609891192988
"blockflgs",0.274284204700962,0.242491217888892,0.252678261999972,0.245536053739488,0.252362449513748,0.252691615489312
"orphanflgs",0.235777754662558,0.258801853493787,0.229198354599066,0.259516133344732,0.241893020481803,0.297848760359921
"suidflgs",0.201749133202247,0.291750716068782,0.270539100351743,0.209606726258062,0.231040144246072,0.221000423002988
"stickyowflgs",0.230966006661765,0.273808014695533,0.242072362173349,0.2293057926232,0.283796889218502,0.226924311346374
"stickyflgs",0.200091187353246,0.252409193525091,0.210616516228765,0.281321107735857,0.236464859731495,0.249632124486379
"missingflgs",0.200358701637015,0.246865524793975,0.223013292835094,0.248537596757524,0.208470334648155,0.281043426482938
"""""	""struct",0.25004885843955,0.243674534908496,0.253160360828042,0.251643125689588,0.271726693911478,0.201200874499045
"colortable",0.256174057931639,0.224522638274357,0.272865710337646,0.212028741254471,0.291611251840368,0.230626582354307
"colortable""",0.200545481825247,0.280976785416715,0.276334462338127,0.251273360941559,0.213642383483239,0.222663658903912
"""""	""const",0.232304108794779,0.245478341262788,0.283853276562877,0.278504256927408,0.251872075069696,0.295570778823458
"struct",0.225556523422711,0.295475306734443,0.250809434894472,0.238335060235113,0.236115667084232,0.262200405169278
"linedraw",0.267211120785214,0.242470326530747,0.246638722438365,0.274442398687825,0.233239963022061,0.22549281034153
"linedraw""",0.256265846570022,0.218051962205209,0.297609241469763,0.291821111692116,0.22154051407706,0.267540777637623
"""""	""int",0.277415537531488,0.261068337154575,0.23773837054614,0.249607271119021,0.263618552475236,0.260481252637692
"cmdchar",0.298819885356352,0.232282716664486,0.238431815011427,0.261653333343565,0.252077810093761,0.262006884370931
"""""	""extern",0.261392922396772,0.277961600292474,0.287696815095842,0.277366789081134,0.289804857759736,0.251124728564173
"bool",0.294206743245013,0.220402215840295,0.279122299770825,0.211725079081953,0.232973701879382,0.210330319870263
"hflag""",0.2214065492386,0.208238945226185,0.259986589103937,0.296207712008618,0.269089916348457,0.237510406016372
"nocolor""",0.216318947868422,0.257749568042345,0.298730402626097,0.291920080012642,0.248719699913636,0.217599376197904
"anthracitousdielectrics",0.203308818931691,0.247267494397238,0.265917002712376,0.280070004449226,0.221550315944478,0.236554087349214
"""""	""void",0.293529721302912,0.286674024141394,0.227925765840337,0.287119975988753,0.251610323577188,0.22748248281423
"stonesoupsetupprintfcontext",0.240542821655981,0.276129699940793,0.245546310674399,0.248294905084185,0.278587286616676,0.235507344338112
"sstcroot",0.20310623080004,0.215916638192721,0.233694339706562,0.296668164664879,0.274971597571857,0.254623996838927
"sizedirpath",0.228368422947824,0.209971346682869,0.283485768316314,0.225946676987223,0.226069830288179,0.20784419530537
"sizefilepath",0.236678002332337,0.265241160430014,0.267394837969914,0.294412423158064,0.297000613505952,0.243778327107429
"getenvsstcroot""",0.228574809501879,0.224229989596643,0.2847264560638,0.256394472508691,0.222669037757441,0.292868969123811
"strlensstcroot",0.21277932159137,0.205664785136469,0.224125833436847,0.270128112891689,0.210696781752631,0.241931833373383
"strlentestdata",0.211903732060455,0.264161824109033,0.220026406156831,0.219418615009636,0.228569986531511,0.260929528274573
"dirpath",0.271814292296767,0.285775860259309,0.200026171165518,0.299949084897526,0.261363763781264,0.204331105877645
"retval",0.203985000750981,0.241865739622153,0.224090357427485,0.258701216103509,0.206938733975403,0.252179155615158
"mkdirdirpath",0.254655140289105,0.226687368727289,0.272187253972515,0.253991923620924,0.248806749889627,0.285015803412534
"filepath",0.265774398529902,0.22172754467465,0.25081395264715,0.232139262929559,0.261295148264617,0.291380322072655
"malloc",0.233016152726486,0.205284150224179,0.270648359227926,0.248791369027458,0.239828025572933,0.284762535244226
"sizeofchar""",0.213866380834952,0.280413282732479,0.258478744118474,0.280442341789603,0.290446317847818,0.203525610174984
"sprintffilepath",0.200666464515962,0.282203856459819,0.21497373606544,0.235834294348024,0.299899282050319,0.276564944954589
"ss",0.117128182412125,0.145015078899451,0.173212070926093,0.166628819424659,0.134423046885058,0.173893882776611
"logfiletxt""",0.231520134070888,0.228154086368158,0.206659963331185,0.290414157067426,0.239832028234377,0.200873946608044
"freefilepath""",0.231610913807526,0.227524013468064,0.288642038195394,0.255294716195203,0.251374966162257,0.295680917100981
"stonesoupprintfcontext",0.287314677075483,0.207729060947895,0.234303702809848,0.230012048478238,0.226496429392137,0.221720867231488
"stonesoupprintfchar",0.214715401805006,0.245892923581414,0.210988189675845,0.263024141127244,0.25836892677471,0.271682333713397
"format",0.232951246993616,0.255900796689093,0.281492625502869,0.228563581942581,0.264770435239188,0.266526292124763
"vastartargptr",0.267336425394751,0.285842083441094,0.239888630551286,0.237489392491989,0.226582604600117,0.262279859324917
"format""",0.246745039941743,0.299039825843647,0.225625786650926,0.289044248033315,0.279913677391596,0.234214944951236
"vaendargptr""",0.246629620343447,0.248272260883823,0.286961166071706,0.267658478464,0.299795669107698,0.281968643702567
"fclosestonesoupprintfcontext""",0.273199931858107,0.297748875524849,0.254780015884899,0.2003644825425,0.271705764508806,0.265518835443072
"stonesoupshmid""",0.213221292034723,0.25404849126935,0.235793798160739,0.263944589090534,0.21288097393699,0.22413593349047
"stonesoupshm",0.288858771813102,0.257728372560814,0.236395210516639,0.233655720343813,0.234358840039931,0.272255211509764
"stonesoups""",0.269039675593376,0.294486541184597,0.21417809042614,0.29320868817158,0.271533082355745,0.213112187338993
"stonesouptaintedbuff",0.24233791702427,0.277435069018975,0.299211873835884,0.251477546943352,0.245279881148599,0.235443373327143
"strcmpgetenvstonesoupdisableweakness",0.268266211519949,0.224699578923173,0.280483740824275,0.294017956685275,0.259915097523481,0.215974905667827
"ifsscanfstonesoupenvkey",0.209316165512428,0.234672771743499,0.205004885303788,0.232018866715953,0.26715092160739,0.224700873717666
"stonesoupkey",0.289558150828816,0.228579852473922,0.255973633634858,0.248682963172905,0.267564229876734,0.258135804836638
"shmatstonesoupshmid",0.217824672348797,0.248875412181951,0.207795952237211,0.295224523171782,0.235710740415379,0.240836092596874
"stonesoup",0.200856013270095,0.295942206098698,0.234139026398771,0.276796182268299,0.298610725207254,0.240503139584325
"sourcetaint",0.261289922404103,0.225113817094825,0.255443075066432,0.235778541769832,0.2131320417393,0.203214408271015
"stonesouptaintedbuffstonesoups",0.233603934152052,0.25501866962295,0.248204568005167,0.201470620860346,0.213951000454836,0.21707766209729
"mymallocunsigned",0.210469709313475,0.219676695251837,0.204764928179793,0.211286132759415,0.288735347613692,0.218152656010352
"size""",0.278031786624342,0.288788992911577,0.275905905826949,0.224151602736674,0.253000054461882,0.241130549903028
"arg""",0.248382007610053,0.227662232844159,0.229119065287523,0.204093780554831,0.276762598357163,0.201279857195914
"colors""",0.265671894745901,0.291099790832959,0.243288194551133,0.21281086136587,0.240761536732316,0.276792607572861
"i""",0.298331826459616,0.274262991920114,0.247666786331683,0.25149118991103,0.24242846656125,0.210701957531273
"extensions",0.227284168987535,0.210340743185952,0.283304840745404,0.229110340960324,0.282175903371535,0.230208787019365
"e""",0.24565030944068,0.23067081333138,0.298516607074998,0.257074722391553,0.20384636442177,0.280070173647255
"getenvterm",0.209225708828308,0.25664170878008,0.213072172529064,0.296669759671204,0.284579493617639,0.270408091321588
"getenvtreecolors""",0.214768150751479,0.240677622053772,0.204566266923212,0.233384306402877,0.236955671571195,0.236929912818596
"getenvlscolors""",0.217627601558343,0.245766227226704,0.224826302635483,0.294876363757066,0.274128422979265,0.268504107231274
"strlens",0.28842590842396,0.223148772376589,0.219545750739053,0.220598134747706,0.233963349764235,0.241193790826947
